Domain,Phylum,Class,Order,Family,Genus,Species,N.vespillo_b,N.vsps_n,N.vsps_p,N.vsps_o,Yab_fpj_1,Yab_fpj_2,Yaj_fpb_1,Yaa_fpi_1,Yaa_fpi_2,Yai_fpa_1,Yai_fpa_2,N.vsps_j,Yai_fpa_3,Yai_fpa_4,Yal_fpd_1,Yal_fpd_2,Yal_fpd_3,Yaq_fpr_1,Yaq_fpr_2,Yam_fpn_1,Yam_fpn_2,Yam_fpn_3,N.vespillo_a,Yan_fpm_1,Yan_fpm_2,Yan_fpm_3,Yao_fpp_1,Yao_fpp_2,Yao_fpp_3,Yam_fpn_4_fed,Yam_fpn_5_fed,Yam_fpn_6_fed,Yan_fpm_4_fed,N.vsps_i,Yan_fpm_5_fed,Yan_fpm_6_fed,Yao_fpp_4_fed,Yao_fpp_5_fed,Yao_fpp_6_fed,Positive_control,Negative_control_1,Negative_control_2,N.vespillo_d,N.vsps_l,N.vespillo_q,N.vespillo_r,N.vsps_m,N.int_f1,N.vespillo_f2,N.vespillo_f3,N.vespillo_m1,N.vespillo_m2,N. vespilloides_f_open1,N. vespilloides_f_open2,N. vespilloides_f_open3,N. vespilloides_f_open4,N.int_m4,N.vespilloides_m_open1,N.int_f2,N.vespilloides_m_open2,N.vespilloides_m_open3,N.vespilloides_m_lab1,N.vespilloides_m_lab2,N.vespilloides_m_lab3,N.vespilloides_m_lab4,N.vespilloides_f_lab1,N.vespilloides_f_lab2,N.vespilloides_f_lab3,N.vespilloides_f_lab4,N.int_f3,N.int_f4,N.vespilloides_m_open4,N.int_m1,N.int_m2,N.int_m3,N.vespillo_f1
Bacteria,Firmicutes,Bacilli,Lactobacillales,Vagococcaceae,Vagococcus,unclassified,2019,2477,992,5853,7062,78,1785,0,0,2081,604,966,142,2192,9687,9390,4648,1104,1615,8889,8254,652,9071,1787,4040,2900,2561,3209,1762,2567,3501,2022,4901,2394,3042,8263,3455,3369,5019,0,0,0,9444,694,5368,186,2528,17676,678,3765,617,500,2217,3872,8057,5129,2658,8387,9566,3641,2498,2999,5491,1867,992,4706,1173,3697,2073,7831,4883,1251,4101,2654,2830,10663
Bacteria,Firmicutes,Bacilli,Lactobacillales,unclassified,unclassified,unclassified,1136,1755,516,228,21,5637,918,8279,0,350,1309,390,364,950,85,15,10,6568,724,390,1001,20,6313,1639,543,2461,543,305,969,2465,2018,3214,2476,2517,2735,4565,703,2558,913,0,0,0,5086,870,4679,256,2068,10631,367,906,532,280,1835,827,4733,1563,753,2507,5746,935,1474,3658,2867,754,754,3473,421,1978,3259,5634,3317,1435,1707,546,775,5779
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Providencia,unclassified,646,745,0,135,3317,2008,92,21,42,956,222,1808,389,620,1494,934,1486,67,29,4580,2524,2076,72,589,483,1696,2471,1453,129,55,586,66,0,0,49,52,500,43,894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,unclassified,unclassified,unclassified,83,720,688,0,0,0,204,0,0,5262,79,1516,15293,1566,0,0,0,0,1132,0,54,0,198,1257,25,127,3558,55,8776,3950,117,46,2086,193,4116,778,188,2440,543,0,0,0,665,54,43,0,804,0,0,0,33,99,0,89,124,0,0,221,56,0,79,458,707,0,558,175,85,392,417,30,93,0,0,0,112,0
Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadales,Saccharimonadales,unclassified,0,68,107,42,0,0,9,0,0,660,16,185,2116,205,0,0,0,0,0,0,22,0,27,173,0,16,495,0,1227,549,7,0,264,17,606,125,21,352,87,0,0,0,84,0,0,0,106,0,0,0,24,72,0,16,10,0,0,29,0,0,0,90,42,0,133,15,0,42,39,0,0,0,0,5,0,0
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Erysipelothrix,Erysipelothrix_inopinata,0,369,0,0,0,515,131,0,0,47,22,111,14,123,102,591,702,0,1196,216,60,34,0,12,31,17,0,85,0,11,33,50,0,17,0,0,696,0,219,0,0,0,72,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,unclassified,0,19,14,10,0,0,246,7,0,336,129,301,99,256,92,112,81,0,0,492,175,166,0,112,192,275,124,479,434,114,460,440,0,296,60,75,120,112,760,1549,754,0,0,124,0,0,76,4,6,0,0,1,273,18,51,20,45,39,22,20,46,414,82,309,248,272,243,2,6,0,55,39,43,0,0,0
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Erysipelothrix,unclassified,0,849,726,20,0,1124,251,0,0,235,200,287,273,642,282,1708,1738,88,2528,559,610,310,21,574,34,219,575,183,207,351,367,455,97,95,197,152,2490,684,972,0,0,0,127,271,166,27,585,12,5,0,0,12,338,86,73,115,123,143,105,92,584,243,82,491,164,72,21,207,280,0,32,54,76,0,147,0
Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Rickettsiella,unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,29,0,0,51,30,1557,60,0,15,0,73,163,64,134,212,102,8,0,4740,50,0,173,11105,80,0
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,unclassified,unclassified,103,315,724,69,0,0,115,0,0,149,1269,58,141,597,42,0,0,109,0,0,304,147,165,432,34,80,59,0,756,591,1411,1126,44,285,638,196,104,205,98,0,0,0,118,675,53,45,783,261,659,305,202,377,1390,426,592,528,792,669,822,377,1953,1213,58,620,990,340,453,304,782,294,424,283,581,211,634,908
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,ZOR0006,unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,816,244,259,77,695,455,207,262,579,339,164,277,1170,0,0,1277,1149,53,140,0,0,78,313,0,437,88,317,320
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,ZOR0006,uncultured_bacterium,69,106,187,46,0,0,119,0,0,356,2192,141,418,1255,2068,666,665,107,520,31,123,56,34,123,77,46,73,0,230,242,119,190,0,108,416,14,100,254,51,0,0,0,134,758,28,33,70,63,638,186,178,72,683,467,183,244,516,351,221,293,1153,81,0,777,813,44,101,157,52,20,275,54,255,78,251,353
Bacteria,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Wohlfahrtiimonadaceae,Ignatzschineria,swine_effluent,377,75,50,62,0,0,302,0,0,267,433,360,0,101,186,0,0,499,19,46,63,0,50,226,589,1109,158,0,138,53,89,117,0,742,156,130,0,141,60,0,0,11,4,255,148,39,0,61,60,106,162,44,307,5,0,0,256,20,524,0,0,1311,91,0,135,241,65,58,20,215,0,646,149,3,19,124
